Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2010,61,3,Arizona,41.60%,41.00%,35.90%,"1,750,840","1,727,791",4209544.00,4807398.00,10.30%,"35,368","52,316","7,993","96,443",
2012,61,3,Arizona,53.00%,52.60%,46.50%,"2,323,579","2,306,559",4387900.00,4959270.00,9.90%,"35,188","72,452","7,460","81,048",
2014,61,3,Arizona,34.10%,33.40%,29.50%,"1,537,671","1,506,416",4510186.00,5110890.00,10.10%,"37,516","73,232","7,502","86,028",
1980,42,4,Arkansas,,52.00%,51.50%,,"837,582",1610104.00,1624917.00,0.50%,"2,911","2,400","2,855","6,966",
1982,42,4,Arkansas,,48.10%,47.60%,,"789,351",1639482.00,1656707.00,0.50%,"3,922","3,384","3,061","8,675",
1984,42,4,Arkansas,,53.00%,52.30%,,"884,406",1668136.00,1689480.00,0.50%,"4,482","8,238","3,463","12,064",
1986,42,4,Arkansas,,41.40%,40.80%,,"695,487",1681564.00,1706578.00,0.60%,"4,701","12,700","4,023","15,074",
1988,42,4,Arkansas,,49.00%,48.20%,,"827,738",1689491.00,1717388.00,0.60%,"5,519","15,931","3,840","17,325",
1990,42,4,Arkansas,,40.70%,39.90%,,"696,209",1710799.00,1742746.00,0.70%,"7,322","15,983","3,971","19,285",
1992,42,4,Arkansas,,54.30%,53.10%,,"950,653",1751083.00,1789420.00,1.00%,"8,285","16,448","3,460","19,969",
1994,42,4,Arkansas,,39.80%,38.80%,,"716,840",1801161.00,1849361.00,1.30%,"8,643","19,606","5,224","23,670",
1996,42,4,Arkansas,,47.90%,46.50%,,"884,262",1844689.00,1903094.00,1.60%,"9,407","25,178","5,459","27,455",
1998,42,4,Arkansas,,37.50%,36.20%,,"706,011",1882181.00,1951741.00,1.90%,"10,638","28,698","6,979","31,966",
2000,42,4,Arkansas,,47.90%,46.00%,,"921,781",1925961.00,2001774.00,2.30%,"11,915","28,409","8,659","34,779",
2002,42,4,Arkansas,41.70%,41.30%,39.70%,"814,176","805,696",1951568.00,2031787.00,2.60%,"12,378","27,377","12,128","38,195",
2004,42,4,Arkansas,54.40%,53.60%,51.00%,"1,070,573","1,054,945",1969208.00,2072986.00,2.80%,"13,477","29,128","14,844","42,885",
2006,42,4,Arkansas,38.90%,38.70%,36.40%,"780,409","774,680",2004193.00,2130080.00,3.30%,"13,729","31,508","16,666","46,149",
2008,42,4,Arkansas,52.90%,52.50%,50.00%,"1,095,958","1,086,617",2071563.00,2174846.00,2.90%,"14,716","31,169","19,908","40,255","43,963"
2010,42,4,Arkansas,37.90%,37.50%,35.30%,"789,773","781,333",2081156.00,2216171.00,3.70%,"16,047","26,995","21,106","53,752",
2012,42,4,Arkansas,51.10%,50.70%,47.70%,"1,078,548","1,069,468",2109847.00,2242740.00,3.50%,"14,471","30,122","23,372","53,808",
2014,42,4,Arkansas,40.30%,40.10%,37.50%,"852,642","848,592",2117881.00,2263040.00,4.00%,"17,756","28,192","21,743","55,287",
1980,71,5,California,56.20%,55.00%,48.90%,"8,775,459","8,587,063",15610966.00,17551451.00,10.80%,"24,569",0,"15,253","39,822",
1982,71,5,California,49.90%,48.70%,42.70%,"8,064,314","7,876,698",16161555.00,18448245.00,12.10%,"34,640",0,"18,913","53,553",
1984,71,5,California,58.90%,57.20%,49.30%,"9,796,375","9,505,423",16618345.00,19270739.00,13.40%,"43,197",0,"30,645","73,842",
1986,71,5,California,44.40%,43.40%,36.80%,"7,617,142","7,443,551",17166275.00,20222886.00,14.70%,"59,484",0,"33,172","92,656",
1988,71,5,California,57.50%,55.70%,46.50%,"10,194,539","9,887,065",17738700.00,21249801.00,15.90%,"76,171",0,"49,364","125,535",
1990,71,5,California,43.50%,42.40%,34.90%,"7,899,131","7,699,420",18156500.00,22061053.00,17.00%,"97,309",0,"67,562","164,871",
1992,71,5,California,61.60%,60.30%,49.30%,"11,374,565","11,131,721",18460157.00,22573381.00,17.30%,"109,496",0,"87,725","197,221",
1994,71,5,California,48.20%,46.90%,38.10%,"8,900,593","8,658,881",18479124.00,22721586.00,17.70%,"125,605",0,"85,082","210,687",
1996,71,5,California,55.00%,53.70%,43.40%,"10,263,490","10,019,484",18644593.00,23076427.00,18.10%,"146,049",0,"99,578","245,627",
1998,71,5,California,44.70%,43.50%,35.00%,"8,617,649","8,381,871",19264556.00,23980067.00,18.50%,"161,904",0,"108,424","270,328",
2000,71,5,California,56.60%,55.70%,44.10%,"11,142,843","10,965,849",19685258.00,24867252.00,18.80%,"163,001",0,"117,647","280,648",
2002,71,5,California,37.30%,36.10%,29.00%,"7,738,821","7,476,351",20733192.00,25622609.00,18.80%,"163,361",0,"113,185","276,546",
2004,71,5,California,59.60%,58.80%,47.10%,"12,589,367","12,421,852",21132533.00,26246548.00,18.80%,"166,053",0,"110,261","276,314",
2006,71,5,California,41.20%,40.20%,32.20%,"8,899,059","8,679,416",21582217.00,26739781.00,18.90%,"175,512",0,"111,744","287,256",
2008,71,5,California,61.70%,60.90%,49.50%,"13,743,177","13,561,900",22261504.00,27411094.00,17.90%,"173,670",0,"120,753","234,047","486,207"
2010,71,5,California,45.90%,44.00%,35.80%,"10,529,134","10,095,485",22946053.00,28167234.00,17.70%,"146,412",0,"105,133","217,629",
2012,71,5,California,55.70%,55.10%,45.10%,"13,202,158","13,038,547",23681837.00,28913129.00,17.40%,"119,455",0,"89,287","208,742",
2014,71,5,California,30.70%,29.90%,24.70%,"7,513,972","7,317,581",24440416.00,29646675.00,16.80%,"136,088",0,"87,104","223,192",
1980,62,6,Colorado,59.10%,57.20%,55.90%,"1,225,549","1,184,415",2071959.00,2118092.00,2.00%,"2,629",0,927,"3,556",
1982,62,6,Colorado,47.30%,43.50%,42.50%,"1,037,774","956,021",2196263.00,2248839.00,2.10%,"3,042",0,"1,202","4,244",
1984,62,6,Colorado,59.20%,57.10%,55.70%,"1,343,437","1,295,380",2267668.00,2325829.00,2.30%,"3,231",0,"1,709","4,940",
1986,62,6,Colorado,47.50%,45.90%,44.70%,"1,096,867","1,060,765",2309652.00,2372880.00,2.40%,"3,804",0,"1,827","5,631",
1988,62,6,Colorado,60.80%,59.00%,57.30%,"1,416,265","1,372,394",2327768.00,2396786.00,2.60%,"5,765",0,"1,743","7,508",
1990,62,6,Colorado,44.20%,43.20%,41.80%,"1,046,139","1,022,027",2366650.00,2447513.00,2.90%,"7,671",0,"2,396","10,067",
1992,62,6,Colorado,64.00%,62.90%,60.30%,"1,597,166","1,569,180",2494998.00,2602217.00,3.70%,"8,997",0,"2,634","11,631",
1994,62,6,Colorado,44.30%,42.10%,40.10%,"1,173,130","1,116,307",2648684.00,2785952.00,4.50%,"10,717",0,"2,463","13,180",
1996,62,6,Colorado,,54.50%,51.40%,,"1,510,704",2770252.00,2939929.00,5.20%,"12,483",0,"3,294","15,777",
1998,62,6,Colorado,,46.10%,43.00%,,"1,327,235",2879973.00,3085075.00,6.00%,"14,312",0,"5,204","19,516",
2000,62,6,Colorado,,57.50%,53.70%,,"1,741,368",3026316.00,3246521.00,6.70%,"16,833",0,"5,500","22,333",
2002,62,6,Colorado,46.60%,46.30%,42.00%,"1,424,029","1,416,093",3056465.00,3362098.00,7.20%,"19,085",0,"6,215","25,300",
2004,62,6,Colorado,67.30%,66.70%,61.20%,"2,148,036","2,129,630",3192647.00,3443164.00,7.50%,"19,756",0,"7,383","27,139",
2006,62,6,Colorado,48.10%,47.30%,43.10%,"1,586,105","1,558,405",3297308.00,3569901.00,8.00%,"22,481",0,"8,196","30,677",
2008,62,6,Colorado,71.60%,71.00%,64.70%,"2,422,236","2,401,361",3382959.00,3708955.00,8.00%,"23,274",0,"11,654","29,101","71,854"
2010,62,6,Colorado,51.70%,50.60%,46.50%,"1,828,323","1,787,730",3533054.00,3843619.00,7.30%,"21,559",0,"11,014","28,322",
2012,62,6,Colorado,70.60%,69.90%,64.50%,"2,596,173","2,569,522",3675871.00,3981208.00,6.90%,"18,807",0,"11,458","30,265",
2014,62,6,Colorado,54.70%,53.70%,49.40%,"2,080,071","2,041,020",3800664.00,4128890.00,7.20%,"19,121",0,"10,067","29,188",
1980,1,7,Connecticut,64.70%,63.90%,61.00%,"1,423,403","1,406,285",2201356.00,2305904.00,3.80%,"4,308","22,981","1,932","17,731",
1982,1,7,Connecticut,49.40%,48.10%,45.70%,"1,112,428","1,084,156",2253328.00,2369975.00,4.00%,"5,156","33,061","1,311","22,998",
1984,1,7,Connecticut,64.80%,63.80%,60.30%,"1,490,946","1,466,900",2300533.00,2431057.00,4.10%,"5,718","46,681",868,"29,927",
1986,1,7,Connecticut,43.70%,42.40%,40.10%,"1,025,605","993,692",2344327.00,2479722.00,4.30%,"6,905","41,304",603,"28,160",
1988,1,7,Connecticut,61.40%,60.70%,57.20%,"1,461,962","1,443,394",2379699.00,2525021.00,4.50%,"8,005","46,086",371,"31,419",
1990,1,7,Connecticut,48.60%,47.90%,45.00%,"1,159,361","1,141,101",2383795.00,2538398.00,4.70%,"10,500","46,640",291,"34,111",
1992,1,7,Connecticut,69.80%,68.60%,64.10%,"1,645,609","1,616,332",2356937.00,2521774.00,5.10%,"11,403","48,567",483,"36,170",
1994,1,7,Connecticut,49.80%,49.10%,45.60%,"1,163,829","1,147,084",2335579.00,2515100.00,5.50%,"14,380","53,453","1,146","42,253",
1996,1,7,Connecticut,60.40%,59.60%,55.10%,"1,410,746","1,392,614",2337160.00,2528212.00,5.80%,"15,007","55,978","1,083","44,079",
1998,1,7,Connecticut,43.70%,42.70%,39.30%,"1,022,453","999,537",2340956.00,2544417.00,6.20%,"17,605","55,000","1,396","46,501",
2000,1,7,Connecticut,62.50%,61.90%,56.60%,"1,474,103","1,459,525",2357687.00,2575243.00,6.60%,"18,355","47,636","1,868","44,041",
2002,1,7,Connecticut,45.10%,42.30%,38.90%,"1,090,756","1,022,942",2418037.00,2617814.00,7.10%,"20,525",0,"2,186","22,711",
2004,1,7,Connecticut,66.20%,65.00%,59.70%,"1,607,808","1,578,769",2429634.00,2652587.00,7.30%,"20,018",0,"2,552","22,570",
2006,1,7,Connecticut,47.70%,46.60%,42.50%,"1,162,391","1,134,780",2437559.00,2683538.00,7.90%,"20,566",0,"2,571","23,137",
2008,1,7,Connecticut,,66.60%,60.40%,,"1,646,792",2471082.00,2725917.00,8.50%,"20,661",0,"2,328","21,825","45,799"
2010,1,7,Connecticut,45.90%,45.90%,41.70%,"1,153,872","1,153,115",2512981.00,2765843.00,8.40%,"18,553",0,"2,894","20,768",
2012,1,7,Connecticut,61.40%,61.30%,55.60%,"1,560,640","1,558,960",2543202.00,2801375.00,8.50%,"16,935",0,"2,793","19,728",
2014,1,7,Connecticut,42.50%,42.30%,38.50%,"1,096,556","1,089,880",2577311.00,2828791.00,8.20%,"16,113",0,"2,564","18,677",
1980,11,8,Delaware,56.80%,56.00%,54.70%,"239,136","235,900",421344.00,430879.00,1.30%,"1,474","3,762",619,"3,974",
1982,11,8,Delaware,45.50%,44.40%,43.30%,"195,726","190,960",430257.00,441374.00,1.40%,"2,068","4,626",621,"5,002",
1984,11,8,Delaware,58.40%,57.50%,55.90%,"258,182","254,572",442354.00,455312.00,1.50%,"2,202","6,373",830,"6,219",
1986,11,8,Delaware,36.30%,35.30%,34.10%,"165,563","160,757",455609.00,470828.00,1.60%,"2,833","7,985",978,"7,804",
1988,11,8,Delaware,54.00%,52.90%,51.00%,"254,973","249,891",472441.00,489696.00,1.70%,"3,197","9,576","1,093","9,078",
1990,11,8,Delaware,37.80%,37.00%,35.50%,"183,977","180,152",486760.00,507016.00,1.90%,"3,471","12,223","1,283","10,866",
1992,11,8,Delaware,58.30%,58.00%,55.30%,"290,836","289,735",499266.00,523661.00,2.20%,"4,062","14,887","1,120","12,626",
1994,11,8,Delaware,39.30%,38.80%,36.80%,"201,560","199,029",512941.00,540474.00,2.60%,"4,466","15,507","1,029","13,249",
1996,11,8,Delaware,52.50%,51.20%,48.40%,"277,418","270,810",528630.00,559598.00,3.00%,"5,110","16,528",591,"13,965",
1998,11,8,Delaware,,33.40%,31.30%,,"180,527",540896.00,576849.00,3.40%,"5,558","20,030",572,"16,145",
2000,11,8,Delaware,,59.00%,54.90%,,"327,529",554863.00,594256.00,3.90%,"6,921","20,052",579,"17,526",
2002,11,8,Delaware,,41.10%,37.90%,,"232,314",564938.00,612919.00,4.40%,"6,879","20,201",551,"17,531",
2004,11,8,Delaware,64.50%,64.20%,59.40%,"377,407","375,190",584817.00,635370.00,4.70%,"6,973","18,725",539,"16,875",
2006,11,8,Delaware,42.90%,42.30%,39.00%,"258,053","254,099",601341.00,659410.00,5.30%,"7,206","16,958",600,"16,285",
2008,11,8,Delaware,65.80%,65.60%,60.60%,"413,562","412,398",628200.00,680493.00,5.30%,"7,075","17,216",551,"15,959","12,658"
2010,11,8,Delaware,49.00%,47.50%,44.10%,"316,754","307,402",646969.00,696940.00,5.50%,"6,307","4,448",560,"11,326",
2012,11,8,Delaware,,62.30%,57.80%,,"413,921",663967.00,715708.00,5.10%,"6,610","15,641",601,"15,501",
2014,11,8,Delaware,34.90%,34.30%,31.80%,"238,110","234,038",681526.00,735156.00,5.10%,"6,625","15,665",676,"16,073",
1980,55,9,District of Columbia,37.90%,37.20%,35.30%,"178,434","175,237",470956.00,496230.00,4.50%,"3,145",0,0,"3,145",
1982,55,9,District of Columbia,,25.00%,23.50%,,"117,623",470719.00,500492.00,5.10%,"4,081",0,0,"4,081",
1984,55,9,District of Columbia,46.50%,44.80%,41.80%,"219,193","211,288",471669.00,505550.00,5.80%,"4,521",0,0,"4,521",
1986,55,9,District of Columbia,28.80%,28.30%,25.90%,"134,158","131,802",465993.00,508553.00,6.50%,"6,618",0,"2,980","9,598",
1988,55,9,District of Columbia,43.50%,42.50%,38.40%,"197,135","192,877",453636.00,502362.00,7.20%,"8,831",0,"3,949","12,780",
1990,55,9,District of Columbia,38.90%,38.30%,34.50%,"171,677","169,066",441742.00,489808.00,7.80%,"9,947",0,0,"9,947",
1992,55,9,District of Columbia,54.20%,53.30%,47.70%,"231,445","227,572",427102.00,477564.00,8.30%,"10,845",0,0,"10,845",
1994,55,9,District of Columbia,45.20%,44.60%,39.60%,"186,316","183,649",411886.00,463680.00,8.80%,"10,949",0,0,"10,949",
1996,55,9,District of Columbia,47.40%,46.60%,41.30%,"189,210","185,726",398839.00,450182.00,9.30%,"9,376",0,0,"9,376",
1998,55,9,District of Columbia,34.50%,34.00%,29.90%,"137,523","135,501",398318.00,452668.00,9.80%,"9,829",0,0,"9,829",
2000,55,9,District of Columbia,,48.30%,43.90%,,"201,355",416696.00,458301.00,10.20%,"7,456",0,0,"7,456",
2002,55,9,District of Columbia,,30.10%,27.10%,,"124,228",412062.00,458631.00,10.00%,0,0,0,0,
2004,55,9,District of Columbia,54.90%,54.30%,48.90%,"230,105","227,586",419142.00,458758.00,10.00%,0,0,0,0,
2006,55,9,District of Columbia,28.70%,28.30%,25.50%,"122,356","120,620",426612.00,466827.00,9.70%,0,0,0,0,
2008,55,9,District of Columbia,61.70%,61.50%,55.20%,"266,871","265,853",432566.00,481971.00,10.30%,0,0,0,0,"6,916"
2010,55,9,District of Columbia,29.60%,28.90%,26.20%,"135,846","132,656",458619.00,506765.00,9.50%,0,0,0,0,
2012,55,9,District of Columbia,61.60%,61.50%,55.50%,"294,254","293,764",477582.00,528848.00,9.70%,0,0,0,0,
2014,55,9,District of Columbia,35.70%,35.30%,32.00%,"177,176","175,071",495899.00,547228.00,9.40%,0,0,0,0,
1980,43,10,Florida,,52.00%,48.70%,,"3,686,930",7088658.00,7575002.00,5.80%,"20,735","38,906","8,823","49,011",
1982,43,10,Florida,,35.50%,33.00%,,"2,688,566",7565499.00,8139171.00,6.30%,"27,830","57,074","5,974","62,341",
1984,43,10,Florida,,52.40%,48.30%,,"4,180,051",7976805.00,8656427.00,6.80%,"26,914","118,318","5,661","91,734",
1986,43,10,Florida,,40.90%,37.50%,,"3,429,996",8384015.00,9158241.00,7.30%,"32,237","139,859","3,478","105,645",
1988,43,10,Florida,,49.00%,44.60%,,"4,302,313",8777510.00,9651236.00,7.80%,"34,732","165,475","2,562","120,032",
1990,43,10,Florida,,38.60%,34.80%,,"3,530,871",9145312.00,10137720.00,8.30%,"44,387","210,781","2,064","151,842",
1992,43,10,Florida,57.20%,55.90%,50.20%,"5,438,612","5,314,392",9506230.00,10591116.00,8.70%,"48,302","200,471","14,021","162,559",
1994,43,10,Florida,43.90%,42.90%,38.20%,"4,305,340","4,206,659",9810247.00,11016840.00,9.10%,"57,168","247,014","20,573","201,248",
1996,43,10,Florida,53.30%,51.90%,46.10%,"5,444,245","5,300,927",10219294.00,11509122.00,9.50%,"63,763","237,117","9,243","191,565",
1998,43,10,Florida,38.40%,37.40%,33.00%,"4,070,262","3,965,751",10590870.00,12001902.00,10.00%,"67,224","283,965","6,487","215,694",
2000,43,10,Florida,57.50%,55.90%,47.90%,"6,138,765","5,963,110",10667193.00,12475387.00,10.40%,"71,319","296,139","5,982","225,371",
2002,43,10,Florida,45.90%,45.60%,39.50%,"5,143,674","5,100,581",11194391.00,13005435.00,10.90%,"80,352","291,315","5,223","231,233",
2004,43,10,Florida,64.70%,64.40%,56.10%,"7,640,319","7,609,810",11811921.00,13643828.00,11.20%,"84,733","281,170","4,888","230,206",
2006,43,10,Florida,40.10%,39.60%,34.30%,"4,884,544","4,829,270",12187858.00,14211669.00,11.80%,"92,969","272,977","4,785","234,243",
2008,43,10,Florida,66.60%,66.10%,57.60%,"8,453,743","8,390,744",12687407.00,14558436.00,11.20%,"102,388","279,760","4,528","244,532","451,907"
2010,43,10,Florida,42.20%,41.70%,36.30%,"5,473,787","5,411,106",12961184.00,14916066.00,11.20%,"97,944","165,760","4,093","272,113",
2012,43,10,Florida,63.30%,62.80%,55.10%,"8,538,264","8,474,179",13495057.00,15380947.00,10.80%,"91,954","240,869","4,538","224,153",
2014,43,10,Florida,43.30%,42.80%,37.60%,"6,026,802","5,951,561",13914216.00,15816663.00,10.60%,"95,671","227,087","4,519","227,359",
1980,44,11,Georgia,,42.10%,41.30%,,"1,596,695",3791652.00,3870251.00,0.90%,"12,178","58,450","3,169","44,572",
1982,44,11,Georgia,,29.60%,28.90%,,"1,169,041",3945107.00,4047788.00,1.10%,"14,405","78,097","4,897","58,351",
1984,44,11,Georgia,,43.10%,41.90%,,"1,776,120",4119852.00,4243165.00,1.30%,"15,404","90,057","7,246","67,679",
1986,44,11,Georgia,,28.50%,27.50%,,"1,224,948",4300049.00,4450093.00,1.50%,"16,922","109,485","10,421","82,086",
1988,44,11,Georgia,,40.60%,39.10%,,"1,809,672",4459739.00,4631342.00,1.70%,"18,787","121,559","11,308","90,875",
1990,44,11,Georgia,,31.60%,30.20%,,"1,449,652",4588953.00,4803269.00,2.10%,"22,411","134,840","22,646","112,477",
1992,44,11,Georgia,,48.50%,45.90%,,"2,311,253",4766958.00,5037354.00,2.90%,"25,290","153,154","23,020","124,887",
1994,44,11,Georgia,,31.00%,29.20%,,"1,545,328",4978431.00,5293282.00,3.70%,"33,425","140,694","17,505","121,277",
1996,44,11,Georgia,45.80%,44.40%,41.40%,"2,374,650","2,298,899",5181708.00,5555577.00,4.40%,"35,139","143,457","21,146","128,014",
1998,44,11,Georgia,34.60%,33.70%,30.80%,"1,842,145","1,792,880",5326337.00,5828114.00,5.20%,"39,262","278,669","20,482","199,079",
2000,44,11,Georgia,47.60%,45.80%,42.40%,"2,684,951","2,583,208",5639668.00,6087332.00,5.90%,"44,232","321,407","21,556","226,492",
2002,44,11,Georgia,,35.40%,32.20%,,"2,031,604",5731983.00,6287215.00,6.50%,"47,004","367,349","20,822","251,501",
2004,44,11,Georgia,56.40%,56.20%,50.00%,"3,317,336","3,301,875",5878186.00,6499325.00,6.80%,"48,625","419,350","23,344","281,644",
2006,44,11,Georgia,35.10%,34.70%,30.70%,"2,143,845","2,122,258",6115331.00,6799654.00,7.40%,"52,792","422,790","22,851","287,038",
2008,44,11,Georgia,62.70%,62.50%,55.60%,"3,940,705","3,924,440",6281872.00,7063638.00,7.30%,"52,719","397,081","23,448","262,984","141,001"
