"","VCF0004","VCF0101","VCF0110","VCF0901a","VCF0114","VCF0105b","VCF0104","VCF0147","VCF0303","VCF0116","VCF9025"
"21889",1978,20,"2. High school (12 grades or fewer, incl. non-college",5,"2. 17 to 33 percentile","1. White non-Hispanic","1. Male","2. Never married","3. Republicans (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21890",1978,57,"2. High school (12 grades or fewer, incl. non-college",6,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","1. Married","3. Republicans (including leaners)","1. Working now","2. Republican"
"21891",1978,71,"2. High school (12 grades or fewer, incl. non-college",6,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21892",1978,80,"2. High school (12 grades or fewer, incl. non-college",12,"2. 17 to 33 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","5. Retired","9. DK; NA; did not vote; DK/NA/refused to say if"
"21893",1978,76,"1. Grade school or less (0-8 grades)",12,"2. 17 to 33 percentile","1. White non-Hispanic","1. Male","5. Widowed","3. Republicans (including leaners)","5. Retired","9. DK; NA; did not vote; DK/NA/refused to say if"
"21894",1978,24,"2. High school (12 grades or fewer, incl. non-college",29,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","1. Married","2. Independents","1. Working now","0. No gubernatorial race in state (includes Washington"
"21895",1978,20,"3. Some college (13 grades or more but no degree;",29,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","2. Never married","3. Republicans (including leaners)","8. Student","0. No gubernatorial race in state (includes Washington"
"21896",1978,36,"4. College or advanced degree (no cases 1948)",18,"0. DK; NA; refused to answer; no Pre IW","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21897",1978,27,"2. High school (12 grades or fewer, incl. non-college",21,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","1. Married","3. Republicans (including leaners)","7. Homemaker","0. No gubernatorial race in state (includes Washington"
"21898",1978,25,"4. College or advanced degree (no cases 1948)",21,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21899",1978,35,"3. Some college (13 grades or more but no degree;",6,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","3. Divorced","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21900",1978,52,"2. High school (12 grades or fewer, incl. non-college",6,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","3. Divorced","3. Republicans (including leaners)","1. Working now","2. Republican"
"21901",1978,79,"2. High school (12 grades or fewer, incl. non-college",49,"2. 17 to 33 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","5. Retired","0. No gubernatorial race in state (includes Washington"
"21902",1978,60,"2. High school (12 grades or fewer, incl. non-college",49,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","3. Divorced","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21903",1978,40,"2. High school (12 grades or fewer, incl. non-college",42,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","4. Separated","1. Democrats (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21904",1978,65,"2. High school (12 grades or fewer, incl. non-college",42,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","5. Widowed","1. Democrats (including leaners)","5. Retired","1. Democrat"
"21905",1978,22,"2. High school (12 grades or fewer, incl. non-college",56,"0. DK; NA; refused to answer; no Pre IW","4. Other or multiple races, non-Hispanic","1. Male","2. Never married","2. Independents","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21906",1978,29,"2. High school (12 grades or fewer, incl. non-college",56,"3. 34 to 67 percentile","4. Other or multiple races, non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21907",1978,28,"2. High school (12 grades or fewer, incl. non-college",56,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","3. Divorced","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21908",1978,43,"2. High school (12 grades or fewer, incl. non-college",19,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","1. Married","2. Independents","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21909",1978,31,"2. High school (12 grades or fewer, incl. non-college",39,"0. DK; NA; refused to answer; no Pre IW","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","7. Homemaker","1. Democrat"
"21910",1978,28,"2. High school (12 grades or fewer, incl. non-college",39,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21911",1978,73,"1. Grade school or less (0-8 grades)",19,"2. 17 to 33 percentile","2. Black non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","5. Retired","9. DK; NA; did not vote; DK/NA/refused to say if"
"21912",1978,55,"1. Grade school or less (0-8 grades)",5,"2. 17 to 33 percentile","2. Black non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21913",1978,55,"1. Grade school or less (0-8 grades)",5,"1. 0 to 16 percentile","2. Black non-Hispanic","2. Female","4. Separated","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21914",1978,86,"1. Grade school or less (0-8 grades)",5,"1. 0 to 16 percentile","2. Black non-Hispanic","2. Female","5. Widowed","1. Democrats (including leaners)","5. Retired","1. Democrat"
"21915",1978,20,"2. High school (12 grades or fewer, incl. non-college",5,"1. 0 to 16 percentile","2. Black non-Hispanic","2. Female","2. Never married","0. DK; NA; other; refused to answer; no Pre IW","4. Unemployed","9. DK; NA; did not vote; DK/NA/refused to say if"
"21916",1978,65,"2. High school (12 grades or fewer, incl. non-college",5,"1. 0 to 16 percentile","2. Black non-Hispanic","2. Female","5. Widowed","1. Democrats (including leaners)","4. Unemployed","9. DK; NA; did not vote; DK/NA/refused to say if"
"21917",1978,75,"3. Some college (13 grades or more but no degree;",18,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","5. Widowed","1. Democrats (including leaners)","5. Retired","0. No gubernatorial race in state (includes Washington"
"21918",1978,82,"2. High school (12 grades or fewer, incl. non-college",19,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","5. Widowed","3. Republicans (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21919",1978,62,"3. Some college (13 grades or more but no degree;",19,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","1. Married","3. Republicans (including leaners)","7. Homemaker","2. Republican"
"21920",1978,29,"2. High school (12 grades or fewer, incl. non-college",19,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21921",1978,56,"3. Some college (13 grades or more but no degree;",56,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","1. Working now","2. Republican"
"21922",1978,31,"3. Some college (13 grades or more but no degree;",56,"0. DK; NA; refused to answer; no Pre IW","1. White non-Hispanic","2. Female","1. Married","3. Republicans (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21923",1978,33,"4. College or advanced degree (no cases 1948)",56,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","1. Working now","2. Republican"
"21924",1978,56,"2. High school (12 grades or fewer, incl. non-college",56,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","3. Divorced","3. Republicans (including leaners)","1. Working now","1. Democrat"
"21925",1978,35,"2. High school (12 grades or fewer, incl. non-college",18,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","3. Divorced","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21926",1978,52,"3. Some college (13 grades or more but no degree;",18,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21927",1978,77,"4. College or advanced degree (no cases 1948)",9,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","5. Widowed","3. Republicans (including leaners)","7. Homemaker","2. Republican"
"21928",1978,22,"1. Grade school or less (0-8 grades)",18,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21929",1978,34,"2. High school (12 grades or fewer, incl. non-college",23,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21930",1978,66,"4. College or advanced degree (no cases 1948)",48,"0. DK; NA; refused to answer; no Pre IW","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","1. Working now","2. Republican"
"21931",1978,55,"2. High school (12 grades or fewer, incl. non-college",48,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21932",1978,27,"3. Some college (13 grades or more but no degree;",18,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21933",1978,38,"4. College or advanced degree (no cases 1948)",12,"4. 68 to 95 percentile","2. Black non-Hispanic","1. Male","3. Divorced","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21934",1978,50,"4. College or advanced degree (no cases 1948)",12,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","3. Divorced","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21935",1978,73,"1. Grade school or less (0-8 grades)",51,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","5. Widowed","1. Democrats (including leaners)","5. Retired","0. No gubernatorial race in state (includes Washington"
"21936",1978,46,"4. College or advanced degree (no cases 1948)",51,"5. 96 to 100 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21937",1978,38,"2. High school (12 grades or fewer, incl. non-college",12,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","2. Never married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21938",1978,48,"2. High school (12 grades or fewer, incl. non-college",12,"5. 96 to 100 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","7. Homemaker","1. Democrat"
"21939",1978,67,"1. Grade school or less (0-8 grades)",12,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","5. Retired","1. Democrat"
"21940",1978,34,"2. High school (12 grades or fewer, incl. non-college",12,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","1. Married","2. Independents","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21941",1978,43,"3. Some college (13 grades or more but no degree;",12,"5. 96 to 100 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","1. Working now","1. Democrat"
"21942",1978,41,"2. High school (12 grades or fewer, incl. non-college",12,"2. 17 to 33 percentile","1. White non-Hispanic","1. Male","1. Married","2. Independents","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21943",1978,44,"2. High school (12 grades or fewer, incl. non-college",9,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","5. Widowed","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21944",1978,68,"2. High school (12 grades or fewer, incl. non-college",1,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","1. Married","2. Independents","5. Retired","1. Democrat"
"21945",1978,37,"4. College or advanced degree (no cases 1948)",26,"4. 68 to 95 percentile","2. Black non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","2. Republican"
"21946",1978,44,"1. Grade school or less (0-8 grades)",26,"1. 0 to 16 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","6. Permanently disabled","2. Republican"
"21947",1978,57,"2. High school (12 grades or fewer, incl. non-college",12,"5. 96 to 100 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","1. Working now","2. Republican"
"21948",1978,69,"2. High school (12 grades or fewer, incl. non-college",12,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","5. Retired","2. Republican"
"21949",1978,26,"2. High school (12 grades or fewer, incl. non-college",55,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","1. Married","3. Republicans (including leaners)","7. Homemaker","2. Republican"
"21950",1978,48,"3. Some college (13 grades or more but no degree;",55,"5. 96 to 100 percentile","1. White non-Hispanic","2. Female","1. Married","2. Independents","1. Working now","2. Republican"
"21951",1978,44,"3. Some college (13 grades or more but no degree;",1,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","2. Never married","3. Republicans (including leaners)","1. Working now","2. Republican"
"21952",1978,51,"4. College or advanced degree (no cases 1948)",39,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","2. Never married","1. Democrats (including leaners)","1. Working now","2. Republican"
"21953",1978,52,"4. College or advanced degree (no cases 1948)",9,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","3. Divorced","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21954",1978,32,"2. High school (12 grades or fewer, incl. non-college",36,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21955",1978,63,"2. High school (12 grades or fewer, incl. non-college",36,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","1. Working now","2. Republican"
"21956",1978,60,"1. Grade school or less (0-8 grades)",12,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21957",1978,79,"2. High school (12 grades or fewer, incl. non-college",12,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","5. Widowed","1. Democrats (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21958",1978,60,"4. College or advanced degree (no cases 1948)",13,"4. 68 to 95 percentile","2. Black non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","5. Retired","1. Democrat"
"21959",1978,75,"3. Some college (13 grades or more but no degree;",13,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","5. Widowed","3. Republicans (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21960",1978,39,"4. College or advanced degree (no cases 1948)",17,"5. 96 to 100 percentile","1. White non-Hispanic","1. Male","3. Divorced","3. Republicans (including leaners)","1. Working now","2. Republican"
"21961",1978,60,"2. High school (12 grades or fewer, incl. non-college",17,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","6. Permanently disabled","9. DK; NA; did not vote; DK/NA/refused to say if"
"21962",1978,28,"2. High school (12 grades or fewer, incl. non-college",39,"3. 34 to 67 percentile","2. Black non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","7. Homemaker","9. DK; NA; did not vote; DK/NA/refused to say if"
"21963",1978,20,"3. Some college (13 grades or more but no degree;",39,"4. 68 to 95 percentile","2. Black non-Hispanic","1. Male","2. Never married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21964",1978,23,"2. High school (12 grades or fewer, incl. non-college",39,"3. 34 to 67 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21965",1978,57,"2. High school (12 grades or fewer, incl. non-college",39,"2. 17 to 33 percentile","2. Black non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","6. Permanently disabled","2. Republican"
"21966",1978,21,"2. High school (12 grades or fewer, incl. non-college",36,"2. 17 to 33 percentile","1. White non-Hispanic","1. Male","2. Never married","2. Independents","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21967",1978,37,"2. High school (12 grades or fewer, incl. non-college",42,"4. 68 to 95 percentile","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","1. Democrat"
"21968",1978,51,"2. High school (12 grades or fewer, incl. non-college",42,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","1. Married","3. Republicans (including leaners)","1. Working now","2. Republican"
"21969",1978,53,"4. College or advanced degree (no cases 1948)",39,"3. 34 to 67 percentile","1. White non-Hispanic","1. Male","1. Married","2. Independents","1. Working now","1. Democrat"
"21970",1978,23,"3. Some college (13 grades or more but no degree;",17,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","3. Divorced","1. Democrats (including leaners)","4. Unemployed","2. Republican"
"21971",1978,19,"3. Some college (13 grades or more but no degree;",17,"3. 34 to 67 percentile","3. Hispanic","2. Female","2. Never married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21972",1978,31,"2. High school (12 grades or fewer, incl. non-college",54,"2. 17 to 33 percentile","1. White non-Hispanic","2. Female","1. Married","1. Democrats (including leaners)","1. Working now","0. No gubernatorial race in state (includes Washington"
"21973",1978,87,"1. Grade school or less (0-8 grades)",54,"1. 0 to 16 percentile","1. White non-Hispanic","2. Female","2. Never married","1. Democrats (including leaners)","6. Permanently disabled","0. No gubernatorial race in state (includes Washington"
"21974",1978,63,"2. High school (12 grades or fewer, incl. non-college",12,"0. DK; NA; refused to answer; no Pre IW","1. White non-Hispanic","2. Female","1. Married","3. Republicans (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21975",1978,60,"2. High school (12 grades or fewer, incl. non-college",12,"0. DK; NA; refused to answer; no Pre IW","1. White non-Hispanic","1. Male","1. Married","1. Democrats (including leaners)","1. Working now","9. DK; NA; did not vote; DK/NA/refused to say if"
"21976",1978,41,"2. High school (12 grades or fewer, incl. non-college",23,"4. 68 to 95 percentile","1. White non-Hispanic","2. Female","1. Married","2. Independents","7. Homemaker","3. Other"
"21977",1978,66,"3. Some college (13 grades or more but no degree;",23,"0. DK; NA; refused to answer; no Pre IW","3. Hispanic","2. Female","1. Married","1. Democrats (including leaners)","7. Homemaker","1. Democrat"
