ID,Gender,Marital Status,Work Status,Education,Annual Income (x1000 $),Age,Location,Purchasing Decision-maker,Purchasing Location,Monthly Electronics Spend,Monthly Household Spend,Purchasing Frequency (every x months),Technology Adoption,TV Viewing (hours/day),Favorite feature
22,male,single,professional,none,31,47,New Hampshire,single,discount,16,20,15,early,1,cool gadget
23,female,married,none,none,49,52,Hawaii,family,mass-consumer electronics,38,168,37,late,5,saving favorite shows to watch as a family
24,male,married,none,none,48,35,Washington,family,mass-consumer electronics,51,242,43,late,8,saving favorite shows to watch as a family
25,male,single,professional,BA,26,25,Idaho,single,retail,31,117,16,early,6,programming/interactive features
26,male,single,none,none,28,74,Alaska,family,discount,18,73,29,early,2,schedule control
27,male,single,none,none,35,75,Montana,family,retail,14,56,32,early,2,cool gadget
28,male,married,professional,none,28,33,Idaho,family,discount,17,45,44,early,1,schedule control
29,female,married,professional,none,46,31,California,family,mass-consumer electronics,42,154,43,late,2,saving favorite shows to watch as a family
30,female,married,none,none,25,35,Delaware,family,retail,15,27,8,early,1,time shifting
31,female,single,professional,BA,56,46,Wyoming,single,specialty stores,67,259,1,early,1,cool gadget
32,female,married,none,none,32,67,Rhode Island,single,retail,19,24,17,early,0,cool gadget
33,male,single,professional,BA,33,69,Pennsylvania,family,retail,18,40,5,early,1,cool gadget
34,female,married,professional,none,30,44,Tennessee,family,retail,12,16,47,early,1,cool gadget
35,male,married,professional,none,42,60,Hawaii,family,mass-consumer electronics,43,64,22,late,4,saving favorite shows to watch as a family
36,female,single,professional,PhD,46,64,Missouri,single,mass-consumer electronics,41,177,34,late,11,saving favorite shows to watch as a family
37,male,married,none,none,24,61,Delaware,single,retail,13,50,38,early,1,cool gadget
38,female,married,professional,none,28,24,Florida,single,retail,17,40,31,early,0,time shifting
39,male,single,professional,PhD,29,20,Hawaii,single,web (ebay),30,145,45,early,5,programming/interactive features
40,male,married,none,none,35,66,Hawaii,family,retail,20,25,34,early,1,schedule control
41,female,single,professional,MA,30,20,New York,single,web (ebay),32,90,43,early,2,programming/interactive features
42,female,married,professional,BA,54,43,Vermont,family,specialty stores,44,114,12,early,0,schedule control
43,female,married,none,none,24,46,Idaho,single,retail,19,78,34,early,1,time shifting
44,female,single,none,none,32,69,New Jersey,single,discount,13,55,26,early,0,schedule control
45,female,married,professional,none,26,38,New York,single,retail,12,22,21,early,0,schedule control
46,male,single,none,none,33,40,Maine,family,discount,20,61,25,early,1,time shifting
47,female,married,professional,BA,59,63,Vermont,family,specialty stores,26,74,15,early,2,cool gadget
48,male,married,professional,BA,48,22,New York,family,specialty stores,51,185,1,early,1,cool gadget
49,female,single,professional,BA,28,29,Oregon,single,web (ebay),35,136,9,early,2,programming/interactive features
50,male,married,none,none,28,61,Massachusetts,single,retail,19,77,4,early,0,cool gadget
51,male,married,none,none,26,36,Vermont,family,retail,14,31,11,early,1,schedule control
52,male,married,none,none,28,58,Connecticut,family,discount,19,72,15,early,1,schedule control
53,male,married,none,none,31,70,New Jersey,single,retail,16,59,36,early,1,cool gadget
54,male,single,professional,none,33,20,North Carolina,single,discount,32,56,5,early,4,programming/interactive features
55,female,married,none,BA,31,45,California,single,discount,19,30,39,early,2,schedule control
56,female,single,none,MA,36,56,Rhode Island,single,retail,15,46,22,early,1,schedule control
57,male,single,none,none,29,29,Illinois,single,discount,19,93,2,early,1,cool gadget
58,female,married,none,BA,27,33,Nevada,family,retail,20,49,40,early,1,time shifting
59,male,married,professional,BA,49,43,Hawaii,family,mass-consumer electronics,45,153,46,late,4,saving favorite shows to watch as a family
60,male,married,professional,MA,45,22,Maryland,family,specialty stores,60,119,9,early,2,time shifting
61,female,single,professional,none,29,51,Idaho,family,discount,13,53,16,early,2,cool gadget
62,male,married,none,PhD,46,52,Illinois,family,mass-consumer electronics,44,93,33,late,2,saving favorite shows to watch as a family
63,male,married,professional,PhD,53,50,Rhode Island,family,mass-consumer electronics,35,108,15,late,4,saving favorite shows to watch as a family
64,female,married,none,none,26,25,Illinois,family,retail,13,50,44,early,2,cool gadget
65,male,single,professional,BA,27,25,Nebraska,single,web (ebay),27,124,16,early,1,programming/interactive features
66,male,single,professional,MA,34,23,Georgia,single,web (ebay),34,165,3,early,0,programming/interactive features
67,female,single,professional,none,28,28,Arkansas,single,web (ebay),36,117,40,early,2,programming/interactive features
68,male,married,professional,PhD,32,74,Pennsylvania,single,discount,12,20,35,early,1,time shifting
69,female,married,professional,none,28,48,Maryland,family,discount,10,17,20,early,1,schedule control
70,male,married,professional,none,28,61,North Carolina,family,retail,21,45,37,early,1,schedule control
71,male,married,none,BA,29,63,Hawaii,single,discount,18,79,21,early,2,schedule control
72,female,married,none,none,31,30,Connecticut,family,retail,19,40,15,early,2,cool gadget
73,female,married,professional,none,53,65,Tennessee,family,specialty stores,78,334,14,early,2,time shifting
74,male,married,professional,none,30,64,New York,family,discount,22,46,8,early,0,time shifting
75,female,married,none,none,55,73,Delaware,family,mass-consumer electronics,44,208,40,late,7,saving favorite shows to watch as a family
76,female,married,professional,MA,45,40,Florida,family,mass-consumer electronics,46,114,29,late,6,saving favorite shows to watch as a family
77,male,single,professional,BA,55,68,Colorado,single,specialty stores,50,94,4,early,2,time shifting
78,male,single,none,none,25,41,Maine,family,retail,18,38,14,early,0,cool gadget
79,male,married,professional,BA,64,80,New Jersey,family,specialty stores,60,211,7,early,1,cool gadget
80,female,single,professional,BA,32,19,Nevada,single,retail,34,101,1,early,3,programming/interactive features
81,male,single,professional,none,31,64,Vermont,family,retail,13,33,44,early,1,cool gadget
82,male,married,none,none,28,80,Maine,single,discount,21,92,28,early,1,time shifting
83,male,married,professional,none,33,40,Illinois,single,retail,17,58,41,early,2,schedule control
84,female,married,professional,BA,49,33,Colorado,family,specialty stores,60,195,7,early,1,cool gadget
85,female,married,none,none,30,31,Idaho,single,retail,16,75,11,early,1,time shifting
86,female,married,professional,MA,31,35,Arizona,single,discount,16,36,7,early,2,cool gadget
87,male,married,professional,MA,51,29,Georgia,family,mass-consumer electronics,47,191,36,late,13,saving favorite shows to watch as a family
88,male,married,none,none,28,32,Illinois,single,retail,16,65,18,early,1,schedule control
89,female,single,professional,none,30,41,Massachusetts,single,discount,21,55,22,early,1,cool gadget
90,female,single,none,none,27,66,Pennsylvania,family,retail,18,60,30,early,1,schedule control
91,female,married,none,BA,49,55,New Hampshire,family,mass-consumer electronics,37,52,43,late,13,saving favorite shows to watch as a family
92,male,single,none,none,26,50,Massachusetts,single,discount,19,25,8,early,1,time shifting
93,male,single,professional,none,32,56,Washington,family,retail,17,54,21,early,1,cool gadget
94,female,single,professional,PhD,35,26,Colorado,single,retail,34,141,38,early,3,programming/interactive features
95,male,married,professional,PhD,54,43,Washington,family,specialty stores,75,356,7,early,1,time shifting
96,male,married,none,BA,47,54,Pennsylvania,family,mass-consumer electronics,45,73,33,late,6,saving favorite shows to watch as a family
97,female,single,none,MA,49,57,Wyoming,single,mass-consumer electronics,47,156,28,late,12,saving favorite shows to watch as a family
98,male,single,professional,none,29,26,Iowa,single,discount,30,88,47,early,1,programming/interactive features
99,male,married,professional,none,30,58,Arizona,family,retail,20,23,8,early,1,schedule control
100,male,married,none,BA,55,57,Hawaii,family,mass-consumer electronics,39,95,18,late,0,saving favorite shows to watch as a family
101,male,single,professional,BA,56,62,California,single,specialty stores,53,92,3,early,1,time shifting
102,female,single,professional,MA,46,79,Missouri,single,mass-consumer electronics,41,173,43,late,13,saving favorite shows to watch as a family
103,male,married,professional,none,55,47,Maine,family,specialty stores,65,151,6,early,2,schedule control
104,female,married,professional,none,27,58,Illinois,family,discount,22,70,30,early,1,schedule control
105,male,married,none,none,30,57,Nevada,family,discount,20,35,48,early,1,schedule control
106,male,single,none,none,28,52,Maryland,single,discount,18,63,30,early,0,cool gadget
107,female,married,professional,BA,30,28,New Jersey,single,retail,12,26,34,early,1,cool gadget
108,male,married,none,none,32,55,Tennessee,family,discount,13,48,18,early,0,time shifting
109,male,married,professional,BA,54,45,Maine,family,specialty stores,57,216,7,early,2,schedule control
110,female,single,none,none,27,63,Idaho,single,discount,18,73,4,early,2,schedule control
111,male,married,none,none,31,25,Montana,single,retail,17,49,17,early,1,schedule control
112,male,single,professional,BA,54,23,Georgia,single,specialty stores,67,96,8,early,2,time shifting
113,female,married,none,none,27,63,Florida,family,retail,20,40,16,early,0,schedule control
114,male,married,professional,BA,33,32,Idaho,single,discount,15,70,45,early,1,cool gadget
115,male,married,none,none,32,73,Vermont,single,retail,18,31,37,early,0,schedule control
116,female,married,none,none,54,73,Tennessee,family,mass-consumer electronics,51,221,37,late,11,saving favorite shows to watch as a family
117,male,married,none,MA,47,48,Maine,family,mass-consumer electronics,34,109,27,late,8,saving favorite shows to watch as a family
118,female,married,professional,PhD,55,67,Hawaii,family,specialty stores,41,205,9,early,1,schedule control
119,male,married,none,none,29,44,Washington,single,discount,18,26,6,early,2,time shifting
120,female,married,none,none,28,42,Florida,family,retail,16,46,16,early,1,schedule control
121,female,married,professional,MA,31,24,Maine,single,retail,24,37,38,early,1,schedule control
122,male,married,none,none,32,48,Connecticut,family,retail,18,88,28,early,0,time shifting
123,female,single,professional,PhD,33,29,Pennsylvania,single,retail,30,34,41,early,5,programming/interactive features
124,female,married,none,none,49,47,California,family,mass-consumer electronics,35,145,35,late,13,saving favorite shows to watch as a family
125,female,married,professional,none,32,70,Georgia,single,discount,17,73,45,early,1,cool gadget
126,male,married,professional,BA,55,46,Hawaii,family,specialty stores,50,225,13,early,2,schedule control
127,male,married,none,MA,46,49,Colorado,family,mass-consumer electronics,43,62,36,late,5,saving favorite shows to watch as a family
128,male,married,none,none,34,67,Delaware,family,discount,16,43,29,early,1,time shifting
129,female,single,none,none,26,72,Washington,family,discount,16,34,21,early,2,cool gadget
130,male,married,professional,none,30,78,Kansas,family,retail,20,85,32,early,1,time shifting
131,female,single,none,none,32,62,Colorado,family,discount,12,34,9,early,2,schedule control
132,female,single,professional,none,33,25,Idaho,single,web (ebay),31,145,1,early,0,programming/interactive features
133,male,married,none,none,29,58,Washington,single,retail,16,29,14,early,1,cool gadget
134,male,married,professional,BA,53,39,California,family,specialty stores,67,143,3,early,1,schedule control
135,male,married,none,none,26,80,California,family,discount,19,32,4,early,1,schedule control
136,female,married,none,MA,45,66,Maryland,family,mass-consumer electronics,34,56,34,late,1,saving favorite shows to watch as a family
137,female,married,none,none,24,41,Idaho,single,discount,14,63,38,early,0,cool gadget
138,male,married,professional,MA,48,51,Connecticut,family,mass-consumer electronics,43,145,37,late,3,saving favorite shows to watch as a family
139,male,married,professional,none,49,22,Washington,family,specialty stores,51,166,13,early,2,time shifting
140,male,married,professional,BA,51,72,California,family,mass-consumer electronics,44,74,40,late,6,saving favorite shows to watch as a family
141,male,married,none,MA,54,60,Illinois,family,mass-consumer electronics,41,182,31,late,10,saving favorite shows to watch as a family
142,female,married,professional,none,30,33,Connecticut,family,discount,16,57,29,early,2,schedule control
143,female,married,professional,none,31,64,Ohio,family,discount,16,40,46,early,1,cool gadget
144,male,single,professional,BA,46,30,Louisiana,single,mass-consumer electronics,36,112,28,late,10,saving favorite shows to watch as a family
145,male,married,professional,none,34,65,Vermont,single,discount,22,59,10,early,2,cool gadget
146,male,single,professional,PhD,32,28,Maryland,single,retail,38,54,9,early,5,programming/interactive features
147,female,married,professional,BA,52,37,Pennsylvania,family,specialty stores,65,133,6,early,1,time shifting
148,male,married,professional,BA,54,43,Vermont,family,specialty stores,52,83,2,early,2,schedule control
149,female,single,none,none,27,77,Hawaii,single,discount,17,31,10,early,2,cool gadget
150,female,married,professional,none,31,47,Illinois,family,discount,13,27,21,early,2,time shifting
151,male,single,none,none,34,67,Rhode Island,single,discount,18,50,42,early,1,cool gadget
152,male,married,professional,BA,56,55,New York,family,specialty stores,55,72,2,early,1,schedule control
153,female,married,professional,none,44,75,New Jersey,family,mass-consumer electronics,45,208,36,late,1,saving favorite shows to watch as a family
154,female,married,none,PhD,46,59,Maine,family,mass-consumer electronics,42,201,42,late,5,saving favorite shows to watch as a family
155,male,married,professional,BA,55,49,Massachusetts,family,specialty stores,47,142,8,early,1,schedule control
156,female,single,professional,PhD,29,19,New Hampshire,single,retail,34,103,11,early,5,programming/interactive features
157,female,single,professional,none,29,18,Tennessee,single,discount,36,88,22,early,6,programming/interactive features
158,female,married,professional,PhD,51,78,Arizona,family,mass-consumer electronics,35,162,13,late,12,saving favorite shows to watch as a family
159,male,married,professional,BA,48,22,Massachusetts,family,specialty stores,54,138,6,early,2,cool gadget
160,female,married,professional,none,29,72,North Dakota,family,discount,20,31,38,early,1,cool gadget
161,female,single,professional,none,55,77,North Carolina,single,specialty stores,72,299,5,early,0,schedule control
162,female,married,none,none,29,78,Idaho,family,retail,14,37,18,early,2,time shifting
163,female,married,none,none,32,23,Pennsylvania,single,discount,17,35,29,early,2,time shifting
164,male,married,none,none,31,66,California,single,retail,14,38,22,early,0,schedule control
165,male,single,none,none,27,62,Arizona,family,discount,16,24,41,early,0,time shifting
166,female,married,professional,none,57,45,Delaware,family,specialty stores,79,128,11,early,0,cool gadget
167,female,married,none,none,55,31,Pennsylvania,family,mass-consumer electronics,43,206,36,late,5,saving favorite shows to watch as a family
168,male,married,none,BA,49,54,Colorado,family,mass-consumer electronics,48,232,28,late,11,saving favorite shows to watch as a family
169,male,married,none,none,29,71,Pennsylvania,single,discount,15,51,30,early,0,cool gadget
170,male,married,none,MA,43,69,Maryland,family,mass-consumer electronics,47,63,37,late,5,saving favorite shows to watch as a family
171,male,married,professional,MA,47,48,Idaho,family,mass-consumer electronics,39,79,20,late,10,saving favorite shows to watch as a family
172,male,married,professional,none,54,45,Delaware,family,specialty stores,58,144,5,early,1,cool gadget
173,male,married,professional,BA,55,50,Tennessee,family,specialty stores,55,237,11,early,2,schedule control
174,male,married,professional,BA,29,21,Kentucky,single,web (ebay),38,45,24,early,2,programming/interactive features
175,female,married,professional,BA,29,37,Nevada,family,retail,12,16,39,early,1,cool gadget
176,male,married,none,none,31,61,Maine,family,discount,13,23,3,early,1,time shifting
177,female,married,none,none,51,37,Connecticut,family,mass-consumer electronics,40,146,33,late,13,saving favorite shows to watch as a family
178,male,married,none,none,28,50,Massachusetts,single,retail,19,76,11,early,0,cool gadget
179,male,married,none,BA,50,64,Vermont,family,mass-consumer electronics,48,175,46,late,13,saving favorite shows to watch as a family
180,male,single,professional,PhD,30,29,New Mexico,single,retail,35,101,10,early,5,programming/interactive features
181,female,married,none,none,32,67,Maryland,family,retail,20,65,43,early,1,cool gadget
182,female,married,professional,MA,26,47,North Dakota,family,discount,20,46,7,early,2,schedule control
183,female,married,professional,none,50,78,Delaware,family,mass-consumer electronics,40,161,43,late,11,saving favorite shows to watch as a family
184,female,married,professional,none,36,54,Illinois,single,discount,12,23,3,early,2,schedule control
185,male,single,professional,none,36,27,Vermont,single,discount,30,114,30,early,0,programming/interactive features
186,female,single,none,none,31,70,New York,single,retail,14,26,11,early,0,time shifting
187,male,married,none,BA,37,49,Florida,single,retail,16,41,19,early,1,cool gadget
188,male,married,professional,BA,50,30,New York,family,specialty stores,48,170,2,early,1,time shifting
189,male,married,professional,BA,57,61,Vermont,family,specialty stores,67,278,3,early,1,cool gadget
190,female,married,none,BA,32,62,Tennessee,family,discount,23,33,19,early,1,cool gadget
191,female,single,professional,MA,29,25,Louisiana,single,retail,33,156,2,early,4,programming/interactive features
192,female,married,none,none,47,79,Pennsylvania,family,mass-consumer electronics,44,182,14,late,13,saving favorite shows to watch as a family
193,female,single,professional,PhD,30,24,Vermont,single,retail,32,96,16,early,2,programming/interactive features
194,female,single,professional,MA,27,19,Texas,single,retail,27,76,22,early,3,programming/interactive features
195,female,married,none,none,27,70,Massachusetts,family,retail,17,49,43,early,2,cool gadget
196,male,single,none,none,32,66,Delaware,family,discount,15,35,33,early,1,schedule control
197,female,married,professional,none,25,52,Hawaii,family,retail,20,62,26,early,0,schedule control
198,male,married,professional,MA,58,65,Pennsylvania,family,specialty stores,55,171,3,early,2,schedule control
199,female,married,none,MA,45,43,Vermont,family,mass-consumer electronics,41,176,41,late,11,saving favorite shows to watch as a family
200,female,married,professional,none,34,67,Vermont,family,discount,13,55,40,early,1,schedule control
201,male,married,professional,MA,51,76,Colorado,family,mass-consumer electronics,37,134,22,late,3,saving favorite shows to watch as a family
202,male,married,none,none,32,50,California,family,retail,19,49,12,early,1,schedule control
203,female,married,professional,none,25,63,Texas,single,retail,21,90,9,early,0,time shifting
204,male,married,professional,MA,55,50,Tennessee,family,specialty stores,57,182,15,early,1,time shifting
205,female,married,professional,BA,52,37,Connecticut,family,specialty stores,33,82,8,early,0,schedule control
206,female,married,professional,none,28,67,Colorado,single,retail,18,86,31,early,2,cool gadget
207,male,married,professional,none,29,64,New York,single,retail,14,64,39,early,1,time shifting
208,male,married,professional,MA,45,24,Vermont,family,specialty stores,65,211,15,early,1,cool gadget
209,male,married,none,none,27,74,Connecticut,family,discount,22,78,39,early,1,time shifting
210,male,married,none,none,26,74,Maryland,single,retail,16,55,41,early,1,cool gadget
211,male,single,professional,PhD,28,19,Delaware,single,web (ebay),39,75,9,early,3,programming/interactive features
212,female,married,professional,none,27,38,Washington,single,discount,16,37,30,early,2,cool gadget
213,male,single,professional,none,31,67,New Hampshire,family,discount,15,45,34,early,1,cool gadget
214,male,married,none,BA,25,33,Idaho,family,retail,19,38,29,early,2,cool gadget
215,male,single,professional,none,28,75,Missouri,family,discount,22,97,9,early,1,schedule control
216,female,married,none,BA,49,39,Nevada,family,mass-consumer electronics,45,84,43,late,2,saving favorite shows to watch as a family
217,female,married,none,none,28,27,South Carolina,single,retail,16,32,14,early,2,schedule control
218,female,married,professional,BA,51,57,Colorado,family,specialty stores,43,76,7,early,2,time shifting
219,female,single,professional,none,32,70,Alabama,single,discount,13,26,29,early,0,cool gadget
220,male,single,professional,PhD,35,26,Connecticut,single,retail,33,93,45,early,5,programming/interactive features
221,female,married,professional,BA,55,40,Pennsylvania,family,specialty stores,47,109,3,early,0,schedule control
222,male,married,professional,none,27,69,New Jersey,single,retail,18,85,18,early,1,time shifting
223,female,married,none,none,28,44,Washington,single,retail,20,56,9,early,1,time shifting
224,female,married,professional,none,33,53,Maryland,single,discount,15,28,37,early,1,cool gadget
225,male,married,professional,MA,58,67,Hawaii,family,specialty stores,74,343,12,early,2,cool gadget
226,female,married,none,BA,34,34,Washington,single,discount,14,69,34,early,1,time shifting
227,female,married,none,none,47,58,Pennsylvania,family,mass-consumer electronics,45,127,30,late,2,saving favorite shows to watch as a family
228,female,single,professional,none,33,18,Utah,single,web (ebay),29,45,12,early,3,programming/interactive features
229,female,single,professional,BA,47,29,Michigan,single,mass-consumer electronics,44,93,24,late,13,saving favorite shows to watch as a family
230,male,married,professional,BA,44,47,Illinois,family,mass-consumer electronics,44,119,23,late,12,saving favorite shows to watch as a family
231,male,single,professional,BA,26,22,New Mexico,single,web (ebay),32,110,21,early,5,programming/interactive features
232,male,married,professional,none,33,76,New York,family,discount,13,28,47,early,0,time shifting
233,female,married,professional,BA,47,61,Arizona,family,mass-consumer electronics,35,121,16,late,10,saving favorite shows to watch as a family
234,female,married,professional,BA,54,74,Pennsylvania,family,mass-consumer electronics,41,159,34,late,7,saving favorite shows to watch as a family
235,female,married,none,none,29,23,Florida,family,retail,21,42,29,early,1,schedule control
236,male,married,professional,BA,44,44,Illinois,family,mass-consumer electronics,35,55,17,late,5,saving favorite shows to watch as a family
237,female,married,none,none,49,61,Maryland,family,mass-consumer electronics,38,86,33,late,5,saving favorite shows to watch as a family
238,female,single,professional,MA,34,30,Kentucky,single,retail,32,75,4,early,1,programming/interactive features
239,male,married,professional,none,33,50,Florida,family,discount,17,47,27,early,0,schedule control
240,female,married,none,MA,49,28,Maryland,family,mass-consumer electronics,40,124,15,late,9,saving favorite shows to watch as a family
241,male,married,none,none,35,32,Arkansas,family,discount,16,23,12,early,1,time shifting
242,female,single,none,none,29,51,New Hampshire,single,retail,21,45,32,early,1,schedule control
243,female,married,professional,BA,55,23,New Hampshire,family,specialty stores,61,258,16,early,1,time shifting
244,male,married,professional,BA,56,56,Vermont,family,specialty stores,71,87,10,early,1,schedule control
245,male,single,professional,BA,57,68,New York,single,specialty stores,66,312,14,early,1,time shifting
246,female,married,none,none,24,51,West Virginia,family,discount,18,72,46,early,0,schedule control
247,female,married,professional,MA,55,38,Idaho,family,specialty stores,38,115,16,early,1,schedule control
248,female,married,none,none,26,38,California,single,retail,17,58,11,early,1,cool gadget
249,male,married,none,BA,51,36,Colorado,family,mass-consumer electronics,50,102,42,late,5,saving favorite shows to watch as a family
250,female,married,none,none,26,31,Maryland,single,retail,18,53,11,early,0,schedule control
251,female,single,professional,BA,34,29,Hawaii,single,discount,34,166,36,early,2,programming/interactive features
252,male,married,professional,none,46,77,Vermont,family,mass-consumer electronics,45,146,43,late,0,saving favorite shows to watch as a family
253,female,married,professional,none,29,51,Colorado,single,discount,14,44,9,early,1,schedule control
254,female,single,professional,MA,55,33,North Dakota,single,specialty stores,82,165,15,early,1,time shifting
255,female,married,none,none,26,59,Wisconsin,family,discount,12,37,44,early,2,time shifting
256,male,single,professional,none,33,24,Missouri,single,web (ebay),37,131,23,early,4,programming/interactive features
257,male,married,professional,BA,50,26,Rhode Island,family,specialty stores,71,267,11,early,2,time shifting
258,female,married,professional,none,28,72,Arizona,family,retail,20,53,27,early,1,time shifting
259,male,married,none,BA,49,60,Nevada,family,mass-consumer electronics,38,97,23,late,11,saving favorite shows to watch as a family
260,male,married,professional,none,51,30,New Hampshire,family,specialty stores,76,377,9,early,1,schedule control
261,female,single,professional,PhD,54,50,North Dakota,single,specialty stores,46,58,11,early,0,cool gadget
262,male,single,professional,BA,59,69,Delaware,single,specialty stores,84,383,7,early,0,schedule control
263,male,married,professional,none,30,57,Indiana,single,retail,19,89,40,early,2,schedule control
264,female,married,none,none,46,77,Rhode Island,family,mass-consumer electronics,33,139,26,late,1,saving favorite shows to watch as a family
265,female,married,none,none,34,49,New York,single,retail,14,21,17,early,1,time shifting
266,male,married,professional,none,36,33,Massachusetts,single,discount,16,34,2,early,2,time shifting
267,female,married,professional,none,53,64,Delaware,family,mass-consumer electronics,35,85,21,late,12,saving favorite shows to watch as a family
268,female,married,professional,BA,23,45,Maryland,family,discount,18,68,3,early,1,time shifting
269,female,single,professional,MA,30,21,Nevada,single,web (ebay),28,46,37,early,3,programming/interactive features
270,male,married,professional,none,28,42,Rhode Island,single,discount,17,67,47,early,1,cool gadget
271,male,married,professional,BA,55,49,Hawaii,family,specialty stores,49,75,7,early,1,cool gadget
272,female,married,none,BA,28,54,Delaware,family,discount,20,73,8,early,0,time shifting
273,female,married,professional,none,29,60,Massachusetts,single,retail,15,46,12,early,1,cool gadget
274,female,married,professional,none,30,34,Colorado,family,retail,9,38,19,early,2,schedule control
275,male,single,professional,BA,51,40,Arkansas,single,mass-consumer electronics,37,144,18,late,7,saving favorite shows to watch as a family
276,female,married,professional,PhD,44,47,New York,family,mass-consumer electronics,43,199,30,late,4,saving favorite shows to watch as a family
277,female,married,professional,none,36,74,Georgia,single,discount,19,87,6,early,0,time shifting
278,female,married,professional,none,25,35,California,family,retail,21,51,47,early,0,schedule control
279,female,single,none,BA,29,76,Illinois,family,retail,24,92,40,early,0,schedule control
280,male,married,professional,BA,56,56,Delaware,family,specialty stores,71,133,11,early,2,time shifting
281,female,single,none,none,30,42,Maryland,single,retail,14,18,19,early,1,schedule control
282,female,married,none,none,30,67,North Dakota,family,retail,15,61,16,early,0,schedule control
283,female,married,professional,none,56,75,Massachusetts,family,mass-consumer electronics,31,95,21,late,2,saving favorite shows to watch as a family
284,male,married,none,none,28,33,New Hampshire,family,retail,20,60,35,early,1,time shifting
285,male,married,none,none,49,60,Tennessee,family,mass-consumer electronics,40,186,30,late,2,saving favorite shows to watch as a family
286,male,single,professional,MA,48,41,Oregon,single,mass-consumer electronics,43,150,21,late,9,saving favorite shows to watch as a family
287,male,married,professional,none,33,76,Washington,family,discount,14,50,26,early,1,time shifting
288,female,married,none,BA,34,43,Pennsylvania,family,discount,18,81,40,early,2,schedule control
289,female,married,none,MA,50,47,Florida,family,mass-consumer electronics,47,200,45,late,8,saving favorite shows to watch as a family
290,male,married,professional,BA,34,65,Connecticut,family,retail,19,64,28,early,2,cool gadget
291,male,married,professional,PhD,45,48,Rhode Island,family,mass-consumer electronics,29,53,35,late,2,saving favorite shows to watch as a family
292,male,married,professional,none,28,76,Rhode Island,single,discount,19,39,40,early,1,cool gadget
293,male,married,professional,PhD,52,34,Washington,family,specialty stores,67,306,4,early,1,cool gadget
294,female,single,professional,PhD,52,25,Virginia,single,specialty stores,25,31,14,early,1,schedule control
295,female,single,none,none,33,69,New Jersey,single,retail,20,61,48,early,1,cool gadget
296,male,single,professional,none,29,27,New Hampshire,single,discount,33,58,12,early,5,programming/interactive features
297,female,single,professional,none,24,27,Tennessee,single,retail,32,158,17,early,3,programming/interactive features
298,male,married,professional,none,28,38,Maryland,single,retail,19,74,28,early,2,schedule control
299,male,married,professional,PhD,29,65,Arizona,single,discount,16,49,25,early,1,cool gadget
300,female,single,professional,BA,31,19,Connecticut,single,discount,26,77,23,early,2,programming/interactive features
301,male,single,professional,none,30,77,Texas,family,retail,19,26,44,early,2,time shifting
302,female,married,none,PhD,44,37,Maryland,family,mass-consumer electronics,47,177,16,late,9,saving favorite shows to watch as a family
303,female,married,none,none,27,56,Massachusetts,family,discount,10,13,24,early,1,cool gadget
304,female,married,professional,MA,50,48,New Jersey,family,mass-consumer electronics,34,47,46,late,2,saving favorite shows to watch as a family
