Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29673.572265625,31383.8359375,33309.65625,35399.4140625,37858.50390625,40194.1484375,41819.8515625,37639.5625,38843.234375,40892.0234375,40223.13671875,41259.44921875,42544.76171875,44194.35546875,45290.9375,46669.32421875,49944.73046875,50865.18359375,48303.34765625,50193.77734375,50411.7265625,50905.09765625,50784.38671875,52162.23828125,53433.7734375,54809.390625,56823.38671875,
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",SL.FAM.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52099990844727,8.22299957275391,7.88000011444092,7.34299993515015,6.81400012969971,6.84100008010864,6.19299983978271,6.20900011062622,6.30600023269653,5.66300010681152,5.12799978256226,4.73600006103516,4.77699995040894,4.9689998626709,4.48099994659424,4.94999980926514,4.87799978256226,4.50600004196167,4.36199998855591,4.29699993133545,4.14099979400635,4.7189998626709,4.68100023269653,4.50699996948242,4.43100023269653,4.3600001335144,4.35400009155273,
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",SL.FAM.WORK.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41599988937378,3.91599988937378,3.71199989318848,3.50399994850159,3.29999995231628,2.96099996566772,2.74900007247925,2.99699997901917,3.30699992179871,2.66599988937378,2.31599998474121,2.06599998474121,2.16899991035461,2.44099998474121,2.30699992179871,2.76500010490417,2.75399994850159,2.61400008201599,2.44899988174438,2.48200011253357,2.39100003242493,2.58800005912781,2.48699998855591,2.27699995040894,2.16400003433228,2.34699988365173,2.34200000762939,
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.31900024414063,15.9969997406006,15.3970003128052,14.2679996490479,13.1590003967285,13.83899974823,12.41100025177,12.0340003967285,11.753999710083,11.1140003204346,10.2700004577637,9.63899993896484,9.58600044250488,9.65200042724609,8.52499961853027,9.02499961853027,8.84000015258789,8.08100032806396,7.92199993133545,7.69500017166138,7.33699989318848,8.52799987792969,8.42300033569336,8.22599983215332,8.1899995803833,7.67500019073486,7.65799999237061,
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",SL.FAM.0714.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",SL.FAM.0714.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.7819976806641,70.8410034179688,71.2030029296875,71.9049987792969,72.6309967041016,72.2630004882813,74.4260025024414,73.3809967041016,74.7089996337891,74.2289962768555,75.3970031738281,76.6880035400391,76.197998046875,74.5530014038086,75.443000793457,74.2220001220703,74.1740036010742,74.4970016479492,74.7360000610352,74.7480010986328,76.5640029907227,74.8410034179688,73.8550033569336,75.1220016479492,73.8860015869141,74.3639984130859,74.3769989013672,
"Wage and salaried workers, male (% of male employment) (modeled ILO estimate)",SL.EMP.WORK.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1679992675781,70.818000793457,71.1959991455078,71.7959976196289,72.4710006713867,72.5220031738281,74.7490005493164,72.5299987792969,74.2829971313477,73.0299987792969,74.620002746582,76.3860015869141,75.5100021362305,73.3809967041016,73.8249969482422,72.140998840332,72.5070037841797,72.1890029907227,72.8320007324219,72.7030029296875,74.7779998779297,73.6380004882813,73.4189987182617,75.2429962158203,74.4599990844727,74.9120025634766,74.927001953125,
"Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",SL.EMP.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.495002746582,70.8830032348633,71.2160034179688,72.1019973754883,72.9189987182617,71.7959976196289,73.8430023193359,74.9240036010742,75.484001159668,76.4100036621094,76.818000793457,77.2429962158203,77.4690017700195,76.7229995727539,78.4530029296875,78.1039962768555,77.2839965820313,78.8570022583008,78.2789993286133,78.5780029296875,79.8239974975586,76.9909973144531,74.5989990234375,74.9199981689453,72.9339981079102,73.4609985351563,73.4749984741211,
"Vulnerable employment, total (% of total employment) (modeled ILO estimate)",SL.EMP.VULN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.1550006866455,26.9809989929199,26.6869993209839,25.8819994926452,24.9460000991821,24.7820000648498,23.0120000839233,23.7369999885559,23.0329995155334,22.7819995880127,21.3169989585877,20.2679996490479,20.3939995765686,21.8509998321533,21.1750001907348,21.8819990158081,22.3420004844666,21.974000453949,21.5509991645813,21.4119997024536,19.7799997329711,21.3770008087158,22.1520009040832,21.068000793457,22.0410008430481,22.175000667572,22.1609992980957,
"Vulnerable employment, male (% of male employment) (modeled ILO estimate)",SL.EMP.VULN.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1949992179871,26.1449999809265,25.8640003204346,25.1269991397858,24.1679999828339,23.3549990653991,21.735999584198,23.4610006809235,22.6610000133514,22.8049998283386,20.8899993896484,19.4909992218017,19.8819992542267,21.7910003662109,21.7249991893768,22.699000120163,22.8670008182526,23.1480004787445,22.2939991950989,22.2739999294281,20.470999956131,21.3300006389618,21.2540001869202,19.5650000572204,20.0509991645813,20.4080007076263,20.3900003433228,
"Vulnerable employment, female (% of female employment) (modeled ILO estimate)",SL.EMP.VULN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4799995422363,28.4910001754761,28.1730003356934,27.2449998855591,26.3530006408691,27.3559999465943,25.3159999847412,24.238000869751,23.7059993743896,22.7430000305176,22.1000003814698,21.6940002441406,21.3370008468628,21.9630002975464,20.1510000228882,20.3569993972779,21.3640003204346,19.755000114441,20.1680002212524,19.7970004081726,18.5220003128052,21.460000038147,23.6850004196167,23.5739994049072,25.3409986495972,25.085000038147,25.0700006484985,
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.9490013122559,59.8880004882813,60.2109985351563,60.0979995727539,59.8709983825684,60.1139984130859,60.0810012817383,59.9169998168945,59.7159996032715,59.8610000610352,59.4589996337891,59.3359985351563,59.1100006103516,59.0270004272461,58.9809989929199,58.9210014343262,58.7610015869141,58.1389999389648,58.1710014343262,58.3489990234375,59.4869995117188,60.4570007324219,61.7999992370605,62.2290000915527,62.3250007629395,62.1100006103516,62.310001373291,
"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,62.6699981689453,63.1500015258789,61.9799995422363,62.0200004577637,61.2099990844727,61.6699981689453,61.9500007629395,62.3899993896484,63.5400009155273,,63.4799995422363,63.7900009155273,,62.7099990844727,64.6399993896484,64,62.2999992370605,62.0900001525879,63.1399993896484,62.6300010681152,62.1300010681152,62.8699989318848,62.0699996948242,61.0200004577637,61.0400009155273,61.2000007629395,60.5499992370605,60.785099029541,60.9300003051758,62.3226013183594,63.1268997192383,65.2399978637695,65.6999969482422,65.7699966430664,65.4100036621094,65.6389999389648,
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.1029968261719,76.0439987182617,76.4240036010742,76.3010025024414,76.036003112793,76.3040008544922,76.2630004882813,76.1699981689453,75.9390029907227,76.0859985351563,75.6119995117188,75.431999206543,75.1320037841797,74.9919967651367,74.9120025634766,74.7789993286133,74.4520034790039,73.8870010375977,73.4469985961914,73.7620010375977,74.4380035400391,75.0210037231445,75.322998046875,75.1869964599609,75.1149978637695,74.7300033569336,74.9499969482422,
"Employment to population ratio, 15+, male (%) (national estimate)",SL.EMP.TOTL.SP.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,83.0299987792969,82.7699966430664,81.629997253418,81.25,79.8000030517578,79.7699966430664,80.1500015258789,81.0500030517578,81.879997253418,,81.9400024414063,82.7699966430664,,81.9499969482422,82.8000030517578,82.379997253418,80.6600036621094,79.9300003051758,79.2900009155273,79.5500030517578,78.8399963378906,79.1699981689453,78.129997253418,77.2300033569336,77.2900009155273,77.0400009155273,76.5,,75.2900009155273,,,78.5899963378906,78.4300003051758,78.2900009155273,77.6600036621094,,
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3549995422363,43.2859992980957,43.5509986877441,43.451000213623,43.2669982910156,43.4749984741211,43.4440002441406,43.1980018615723,43.0149993896484,43.1380004882813,42.7589988708496,42.6339988708496,42.4220008850098,42.3339996337891,42.2630004882813,42.2210006713867,42.1809997558594,41.4490013122559,41.9410018920898,41.9389991760254,43.5309982299805,44.882999420166,47.314998626709,48.3349990844727,48.6040000915527,48.5929985046387,48.7970008850098,
"Employment to population ratio, 15+, female (%) (national estimate)",SL.EMP.TOTL.SP.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,42.439998626709,43.5900001525879,42.3600006103516,42.8199996948242,42.6300010681152,43.5900001525879,43.7400016784668,43.689998626709,45.1699981689453,,44.9700012207031,44.2900009155273,,42.9900016784668,45.5400009155273,44.6500015258789,42.9099998474121,43.2000007629395,46.1100006103516,45.0499992370605,44.9300003051758,45.9900016784668,45.439998626709,44.2200012207031,44.2099990844727,44.7999992370605,44.0400009155273,,45.4599990844727,,,50.7799987792969,51.9500007629395,52.2700004577637,52.1800003051758,,
Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,20.7600002288818,20.9099998474121,21.5900001525879,22.6499996185303,20.7999992370605,,
"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2179985046387,29.1590003967285,28.7970008850098,28.0949993133545,27.3689994812012,27.7369995117188,25.5739994049072,26.6189994812012,25.2910003662109,25.7709999084473,24.6030006408691,23.3120002746582,23.8020000457764,25.44700050354,24.556999206543,25.7779998779297,25.826000213623,25.5030002593994,25.2639999389648,25.2520008087158,23.4360008239746,25.1590003967285,26.1450004577637,24.8780002593994,26.1140003204346,25.6359996795654,25.6229991912842,
"Self-employed, male (% of male employment) (modeled ILO estimate)",SL.EMP.SELF.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8320007324219,29.181999206543,28.8040008544922,28.2040004730225,27.5289993286133,27.4780006408691,25.2509994506836,27.4699993133545,25.7169990539551,26.9699993133545,25.3799991607666,23.6140003204346,24.4899997711182,26.6189994812012,26.1749992370605,27.8589992523193,27.4930000305176,27.8110008239746,27.1679992675781,27.2970008850098,25.2220001220703,26.3619995117188,26.5809993743896,24.7569999694824,25.5400009155273,25.0879993438721,25.0729999542236,
"Self-employed, female (% of female employment) (modeled ILO estimate)",SL.EMP.SELF.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5049991607666,29.117000579834,28.7840003967285,27.8980007171631,27.0809993743896,28.2040004730225,26.1569995880127,25.076000213623,24.5160007476807,23.5900001525879,23.181999206543,22.7569999694824,22.5310001373291,23.2770004272461,21.5470008850098,21.8959999084473,22.7159996032715,21.1429996490479,21.7210006713867,21.4220008850098,20.1760005950928,23.0090007781982,25.4009990692139,25.0799999237061,27.0659999847412,26.5389995574951,26.5249996185303,
"Employers, total (% of total employment) (modeled ILO estimate)",SL.EMP.MPYR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06200003623962,2.17799997329712,2.10899996757507,2.21300005912781,2.42199993133545,2.95499992370605,2.56200003623962,2.88299989700317,2.2590000629425,2.98799991607666,3.28500008583069,3.04399991035461,3.40799999237061,3.59599995613098,3.38199996948242,3.89599990844727,3.48399996757507,3.52900004386902,3.71300005912781,3.83999991416931,3.65599989891052,3.78299999237061,3.99300003051758,3.80999994277954,4.07299995422363,3.46099996566772,3.46099996566772,
"Employers, male (% of male employment) (modeled ILO estimate)",SL.EMP.MPYR.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63700008392334,3.03699994087219,2.94000005722046,3.07699990272522,3.36100006103516,4.1230001449585,3.51500010490417,4.00899982452393,3.05599999427795,4.16499996185303,4.48999977111816,4.1230001449585,4.60799980163574,4.82800006866455,4.44999980926514,5.15999984741211,4.62599992752075,4.66300010681152,4.875,5.02299976348877,4.7519998550415,5.03200006484985,5.32800006866455,5.19099998474121,5.48899984359741,4.67999982833862,4.68300008773804,
"Employers, female (% of female employment) (modeled ILO estimate)",SL.EMP.MPYR.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02500009536743,0.625999987125397,0.611000001430511,0.652999997138977,0.727999985218048,0.848999977111816,0.841000020503998,0.83899998664856,0.810000002384186,0.847000002861023,1.08200001716614,1.06200003623962,1.19400000572205,1.31299996376038,1.39699995517731,1.53799998760223,1.35199999809265,1.38800001144409,1.55200004577637,1.625,1.65499997138977,1.54900002479553,1.71700000762939,1.50699996948242,1.72399997711182,1.4539999961853,1.45500004291534,
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",SL.EMP.1524.SP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8160018920898,42.2760009765625,42.6020011901855,41.9790000915527,41.0289993286133,41.0750007629395,40.5849990844727,40.6119995117188,39.7919998168945,39.6360015869141,39.2360000610352,39.1100006103516,38.6030006408691,38.2350006103516,37.9490013122559,37.984001159668,37.3790016174316,37.1959991455078,35.9659996032715,35.673999786377,37.3419990539551,37.5909996032715,38.3759994506836,38.6580009460449,37.7820014953613,38.0839996337891,37.8810005187988,
"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0499992370605,39.2400016784668,38.1199989318848,38.439998626709,,
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",SL.EMP.1524.SP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2029991149902,47.8600006103516,48.4790000915527,48.0509986877441,47.2620010375977,47.5519981384277,47.1590003967285,46.8310012817383,46.0349998474121,46.0480003356934,45.5820007324219,45.5719985961914,45.1479988098145,44.8930015563965,44.6769981384277,44.8230018615723,44.2890014648438,44.0740013122559,42.5639991760254,42.5909996032715,44.6769981384277,45.3279991149902,46.1129989624023,45.8460006713867,44.875,44.6539993286133,44.5120010375977,
"Employment to population ratio, ages 15-24, male (%) (national estimate)",SL.EMP.1524.SP.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9700012207031,46.5499992370605,45.25,45.0299987792969,,
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.2760009765625,36.5330009460449,36.560001373291,35.7379989624023,34.6259994506836,34.4259986877441,33.8460006713867,34.2459983825684,33.4059982299805,33.0769996643066,32.6969985961914,32.4140014648438,31.7959995269775,31.298999786377,30.9370002746582,30.7970008850098,30.0790004730225,29.9109992980957,28.9780006408691,28.3589992523193,29.5130004882813,29.2639999389648,30.0009994506836,30.8519992828369,30.0790004730225,30.988000869751,30.7569999694824,
"Employment to population ratio, ages 15-24, female (%) (national estimate)",SL.EMP.1524.SP.FE.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.4899997711182,31.3099994659424,30.3899993896484,31.2900009155273,,
Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5540008544922,21.7910003662109,21.1100006103516,20.5380001068115,19.9710006713867,19.3610000610352,17.2859992980957,18.7970008850098,18.3719997406006,18.363000869751,15.1319999694824,14.9270000457764,14.2679996490479,14.5559997558594,14.6379995346069,14.6319999694824,14.78600025177,13.9569997787476,13.5,14.2159996032715,13.6230001449585,12.7019996643066,12.9870004653931,12.2309999465942,12.4689998626709,11.3669996261597,11.0139999389648,
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",SL.AGR.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1580009460449,22.7070007324219,22.2150001525879,21.9489994049072,21.6299991607666,20.6140003204346,18.9309997558594,20.8229999542236,21.011999130249,20.7059993743896,16.8250007629395,16.7360000610352,16.068000793457,16.7749996185303,17.0639991760254,17.1319999694824,17.4090003967285,16.621000289917,15.9479999542236,17.0699996948242,16.3479995727539,15.1899995803833,15.701000213623,14.5550003051758,15.2399997711182,14.1350002288818,13.7349996566772,
Adjusted savings: particulate emission damage (% of GNI),NY.ADJ.DPEM.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362461695440853,0.347313470142967,0.333399267458627,0.316140417466637,0.302598848697038,0.296556110808097,0.289425538591778,0.291544162193954,0.329088260902303,0.32131845237019,0.307742325189248,0.313715736674386,0.303535341818962,0.297999565776542,0.294058537828615,0.291306214056081,0.275459370495353,0.256491501889573,0.256085796820268,0.26324156853633,0.254164937518315,0.250819538729961,0.252091425830712,0.247124784609223,0.242854977429064,0.239009495232813,0.239756273039231,,
Adjusted savings: particulate emission damage (current US$),NY.ADJ.DPEM.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152784927.829786,162091408.724253,186783185.627966,201329654.459462,214518416.405887,250789746.099807,278325025.744043,275940579.575515,224649190.088184,236657804.769135,265218814.633402,269924322.106875,286082858.441907,310730107.226515,347953586.641844,399707082.43063,435162449.727444,486000097.780363,573399146.802293,521807966.815456,627543397.330221,729616480.797744,763431153.07147,772252595.664591,793824921.821929,688854046.400396,690944013.02084,,
Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,,,,,,,,,,,0,0.0696137167170483,0.199808125596826,0.277707121082381,1.0433435160743,1.5154818402018,3.08234857132823,3.4276548593126,3.61684078906728,9.92724046850439,9.26379886926288,5.72006746512075,3.67968584156201,5.92628679948074,6.6745138255922,7.01444906947544,4.41130469671402,5.60437815104455,4.20406871204725,5.94979254007416,7.93260356092022,4.24939784176331,3.52462017209039,2.96166631425259,2.41978746088437,2.40270253934046,2.73453902938787,2.44912824455402,1.69430256112943,2.34713407867085,4.08539728115178,3.25750225907817,3.27153641034696,3.66671160945913,4.57157264505577,5.66762711134882,5.3913023440565,4.58052520376326,5.51241486719312,3.79494517421515,4.01838601183358,4.76793281108653,4.73543877879517,4.1004419047015,3.48118443742317,1.64935332476464,1.71405069060514,,
Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,,,,,,,,,,,0,2871853.75292174,9808994.44840655,20531663.8779666,94755234.9452296,136340359.094791,327299430.435785,432603382.570175,565107948.171361,2012030815.8696,2186901666.97107,1380353245.04527,940798328.345263,1685824737.12012,2112684692.79238,2032918984.84863,1141839921.07518,1692790898.59405,1401238512.31239,2181751672.31812,3343752671.8055,1983196569.13302,1974628765.35363,1886096249.41622,1715436051.33624,2031902691.71179,2629659598.99605,2318049732.74479,1156600655.02932,1728713662.2864,3520881385.25396,2802789233.22204,3083431676.0618,3823353529.41522,5409450479.4416,7776664512.02394,8517017704.07013,8679179156.09063,12342793004.9835,7522492122.13623,9921555798.65757,13869582792.1539,14340755443.3155,12813675930.0969,11379017194.2939,4753634204.37065,4939654123.22733,,
Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,,,,,,,,,,,0.251140481472392,0.1831054851443,0.159063114110448,0.108461559796482,0.267354093855657,0.142364044226094,0.237085632370685,0.364085844075538,0.346874116444938,0.336247650574903,0.372073373751176,0.231105288985441,0.173921421783766,0.153809140904979,0.13302803744906,0.121629051948418,0.125466468941094,0.122613770212222,0.128470005247877,0.124608683812419,0.105211412379138,0.0896219195753675,0.0751232469036275,0.042363382053486,0.0696558986578309,0.0563728836300221,0.0398624236977491,0.0391594242805394,0.0305223682816823,0.0153205609360616,0.00964618373266729,0.00856403038812636,0.0169105687438519,0.0165766175036643,0.0155621577690307,0.00297821323963169,0.00397116025554921,0.00576115258600401,0.0217117847054735,0.0284228291899152,0.0523304664793881,0.0941209840500833,0.117240757396377,0.0994686400007212,0.0807666349987246,0.166072791925105,0.0685671077258851,,
Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,,,,,,,,,,9552723.65934979,7553858.62860319,7808737.50051548,8018866.35366744,24280785.3660517,12807784.55873,25174956.901774,45951174.8287814,54196834.1018691,68149919.0904948,87835227.5103684,55769785.5039976,44467106.6832543,43753409.732976,42107381.267714,35250381.9424795,32476247.4693704,37035237.2134038,42819737.5828897,45693224.1690761,44348736.0165472,41826604.6248169,42086953.2147878,26978534.2187782,49380469.0194551,47673073.1798536,38333556.0361332,37063593.2151743,20835824.6971586,11283915.6675102,8313284.21834971,7368581.89366828,15938255.5425949,17284770.6034208,18414390.0449387,4086465.95036343,6273519.83690898,10916231.9199604,48614640.0161787,56340868.9334174,129206014.956268,273791354.132809,355050737.291613,310834526.570254,264003515.153031,478641715.063183,197600805.070919,,
